mfr,calories,protein,fat,sodium,fiber,carbs,sugar
Post,160,2,1,190,1,35,13
General Mills,220,4,6,220,3,41,15
General Mills,150,3,2,115,3,32,8
General Mills,140,3,2,200,3,29,12
General Mills,240,5,4,280,7,53,19
General Mills,140,3,2,210,3,28,10
General Mills,220,4,5,230,3,42,15
Quaker,160,4,2,170,3,33,9
Kelloggs,120,5,2,95,12,32,6
General Mills,140,3,2,170,3,29,11
Cascadian Farm,270,5,8,400,5,43,5
Post,170,6,1,0,7,41,0
GreenWise,120,3,1,65,5,28,5
Post,150,4,2,210,5,35,7
Post,170,3,3,180,2,34,9
General Mills,170,4,2,200,10,45,10
General Mills,90,3,1,140,18,34,0
Kashi,210,5,3,130,3,44,11
General Mills,140,3,1,190,4,33,6
General Mills,140,3,2,180,3,29,11
General Mills,140,2,2,190,2,30,12
Post,230,6,5,125,6,47,13
Post,160,1,3,210,1,34,17
Quaker,260,7,7,30,7,30,13
Post,170,1,3,240,0,34,17
Kashi,220,10,9,130,6,31,10
Kashi,210,10,7,120,6,32,10
Kelloggs,240,5,1,260,3,56,18
Other,150,2,0,0,0,35,0
Kelloggs,210,5,1,10,6,50,12
Kashi,200,7,1,0,7,48,9
Kelloggs,130,2,1,45,2,32,18
Publix,210,6,2,0,7,49,6
Quaker,210,6,3,190,5,44,10
Post,210,7,2,0,8,49,7
Kelloggs,250,6,4,150,5,50,17
Kelloggs,110,5,2,300,17,36,12
Publix,190,4,1,180,6,45,19
Publix,200,5,1,210,8,46,16
Cascadian Farm,210,5,2,290,7,50,16
Kashi,190,7,1,0,6,47,9
General Mills,170,2,4,250,1,33,8
Quaker,170,3,4,300,1,32,13
GreenWise,150,2,2,200,2,31,10
Post,150,2,1,85,0,34,21
Kelloggs,230,4,8,65,7,41,15
Kashi,200,11,2,140,12,43,8
Post,200,6,1,280,7,47,5
Cascadian Farm,250,5,3,240,3,54,11
General Mills,140,2,2,190,2,31,12
Quaker,200,7,2,310,1,41,25
Kelloggs,150,2,0,160,0,36,15
Post,160,3,2,190,2,34,9
Publix,150,3,0,210,0,34,4
Cascadian Farm,140,2,3,140,3,29,11
Publix,150,3,0,230,1,35,4
Kelloggs,150,2,0,125,0,35,15
Kelloggs,150,2,1,170,1,35,15
Quaker,270,7,7,35,7,51,16
Publix,160,4,3,230,3,31,2
Kelloggs,150,3,2,220,3,33,11
Kelloggs,160,10,3,270,3,33,10
Kashi,200,9,5,140,9,37,12
Kelloggs,170,3,5,140,2,32,15
Quaker,210,6,3,190,5,44,9
General Mills,180,2,4,270,2,36,11
Publix,170,3,3,170,,36,8
Post,160,3,2,170,2,34,11
Kashi,200,9,5,140,8,35,12
Post,200,4,4,140,4,40,13
Post,230,6,5,240,7,45,10
General Mills,160,2,4,230,2,33,8
General Mills,170,2,1,270,2,38,12
Kelloggs,150,2,1,170,2,35,17
Post,220,4,3,150,4,48,16
General Mills,180,3,5,230,3,32,11
Publix,120,4,1,230,7,31,6
General Mills,160,2,2,180,1,33,12
Other,70,4,1,130,10,5,6
Quaker,120,3,5,15,2,8,8
Kelloggs,70,4,1,260,9,7,5
Kelloggs,50,4,0,140,14,8,0
Other,110,2,2,200,1,14,8
General Mills,110,2,2,180,2,11,10
Kelloggs,110,2,0,125,1,11,14
General Mills,130,3,2,210,2,18,8
Other,90,2,1,200,4,15,6
Post,90,3,0,210,5,13,5
Quaker,150,2,2,270,1,32,16
Quaker,150,1,2,220,0,12,12
General Mills,140,5,1,190,4,29,2
General Mills,150,3,2,150,3,30,12
General Mills,140,3,2,170,3,29,10
General Mills,160,4,3,160,3,34,12
General Mills,140,3,3,150,3,29,12
General Mills,200,4,2,270,5,44,12
General Mills,140,3,2,200,3,29,12
General Mills,170,2,3,230,0,33,12
General Mills,110,3,2,140,2,13,7
Post,140,2,1,220,1,31,12
General Mills,140,1,1,130,0,12,12
Other,110,2,0,280,0,22,3
Kelloggs,150,2,0,300,1,36,4
Kelloggs,110,1,0,90,1,13,12
General Mills,110,1,1,180,0,12,13
Kelloggs,110,3,3,140,4,10,7
Publix,140,3,2,190,2,30,12
Other,120,3,0,100,1,25,1
Kelloggs,110,2,0,220,1,21,3
General Mills,100,2,1,140,2,11,10
Other,100,2,0,190,1,18,5
Kelloggs,150,2,1,210,1,34,12
Kelloggs,130,1,0,200,1,12,11
Kelloggs,210,3,0,10,3,51,12
Post,120,3,2,160,5,12,10
Kelloggs,120,3,0,240,5,14,12
Post,110,1,1,135,0,13,12
Post,100,2,0,45,0,11,15
General Mills,150,1,1,300,0,34,12
Post,100,3,1,140,3,15,5
Post,110,3,0,170,3,17,3
Post,120,3,3,75,3,13,4
Quaker,120,1,2,220,1,12,12
General Mills,140,3,1,210,2,12,10
Post,170,3,1,180,1,33,9
Post,160,3,1,190,1,34,9
Post,110,1,0,180,0,14,11
Kelloggs,110,2,1,170,1,17,6
Kelloggs,140,3,1,170,2,20,9
General Mills,110,2,1,260,0,21,3
Quaker,160,4,1,170,1,33,10
Quaker,100,4,2,150,2,12,8
General Mills,160,2,1,170,0,12,12
Other,100,4,1,0,0,33,3
Other,150,4,3,95,3,16,11
Other,150,4,3,150,3,16,11
Kelloggs,160,3,2,150,3,17,13
General Mills,100,2,1,220,2,15,6
Kelloggs,120,2,1,190,0,15,9
Kelloggs,140,3,2,220,3,21,7
Kelloggs,90,3,0,170,3,18,2
General Mills,130,3,2,170,2,14,10
Post,120,3,1,200,6,11,14
Kelloggs,100,3,0,320,1,20,3
Quaker,50,1,0,0,0,13,0
Quaker,50,2,0,0,1,10,0
Quaker,100,4,1,135,2,14,6
Quaker,100,5,2,0,3,-1,-1
Kelloggs,190,3,1,200,5,47,17
Kelloggs,190,4,1,200,4,46,19
General Mills,100,3,2,140,3,11,8
Kelloggs,90,2,0,0,2,15,6
General Mills,160,1,1,220,2,30,12
General Mills,160,1,0,330,0,35,3
Kelloggs,110,2,0,290,0,22,3
Other,80,2,0,0,3,16,0
Other,90,3,0,0,4,19,0
Other,90,3,0,0,3,20,0
Kelloggs,110,2,1,70,1,9,15
Kelloggs,150,3,1,220,1,33,11
Kelloggs,160,3,2,260,1,34,12
Kelloggs,210,15,1,260,5,39,8
Kelloggs,160,3,0,190,3,36,13
Kelloggs,110,6,0,230,1,16,3
Other,90,2,0,15,3,15,5
General Mills,110,2,1,200,0,21,3
General Mills,140,3,1,190,4,15,14
General Mills,100,3,1,200,3,16,3
General Mills,110,2,1,250,0,21,3
General Mills,110,1,1,140,0,13,12
Other,100,3,1,230,3,17,3
General Mills,130,3,1,240,3,17,5
General Mills,110,2,1,200,1,16,8
Kelloggs,140,3,0,250,3,11,11